System Properties
Collision Frequency :0.228000
Pressure: 0.005460
Temparature: 0.000362
rms Velocity: 0.010000
Mean Free Path: 0.430663

particle states
0 0.920643 0.655609 -0.011021 0.008849 0.020000 10.000000 212 132 195 
1 0.360881 0.792378 0.002564 -0.005032 0.020000 10.000000 77 70 131 
2 0.139196 0.213908 -0.007292 -0.000685 0.020000 10.000000 69 182 157 
3 0.438411 0.708074 0.018117 -0.006931 0.020000 10.000000 117 252 51 
4 0.293946 0.471680 -0.004969 -0.002491 0.020000 10.000000 144 87 210 
5 0.521357 0.815979 -0.011508 0.003038 0.020000 10.000000 124 199 7 
6 0.376838 0.571702 0.009521 -0.001355 0.020000 10.000000 120 63 218 
7 0.114710 0.705061 -0.001076 -0.005310 0.020000 10.000000 115 203 47 
8 0.907953 0.208771 -0.003882 0.005237 0.020000 10.000000 237 124 61 
9 0.562328 0.164914 -0.001218 0.000277 0.020000 10.000000 30 224 169 

particle Records
Particle 2 : rx ry vx vy0.569374 0.858269 -0.002362 0.009717
0.569374 0.858269 -0.002362 0.009717
0.567012 0.867986 -0.002362 0.009717
0.564651 0.877703 -0.002362 0.009717
0.562289 0.887421 -0.002362 0.009717
0.559927 0.897138 -0.002362 0.009717
0.557565 0.906855 -0.002362 0.009717
0.555203 0.916572 -0.002362 0.009717
0.552841 0.926289 -0.002362 0.009717
0.550479 0.936006 -0.002362 0.009717
0.548117 0.945723 -0.002362 0.009717
0.545756 0.955440 -0.002362 0.009717
0.543394 0.965157 -0.002362 0.009717
0.541032 0.974874 -0.002362 0.009717
0.538670 0.975409 -0.002362 -0.009717
0.536308 0.965692 -0.002362 -0.009717
0.533946 0.955975 -0.002362 -0.009717
0.531584 0.946258 -0.002362 -0.009717
0.529222 0.936540 -0.002362 -0.009717
0.526861 0.926823 -0.002362 -0.009717
0.524499 0.917106 -0.002362 -0.009717
0.522137 0.907389 -0.002362 -0.009717
0.519775 0.897672 -0.002362 -0.009717
0.517413 0.887955 -0.002362 -0.009717
0.515051 0.878238 -0.002362 -0.009717
0.512689 0.868521 -0.002362 -0.009717
0.510327 0.858804 -0.002362 -0.009717
0.507966 0.849087 -0.002362 -0.009717
0.505604 0.839370 -0.002362 -0.009717
0.503242 0.829653 -0.002362 -0.009717
0.500880 0.819936 -0.002362 -0.009717
0.498518 0.810218 -0.002362 -0.009717
0.496156 0.800501 -0.002362 -0.009717
0.493794 0.790784 -0.002362 -0.009717
0.491432 0.781067 -0.002362 -0.009717
0.489071 0.771350 -0.002362 -0.009717
0.486709 0.761633 -0.002362 -0.009717
0.484347 0.751916 -0.002362 -0.009717
0.481985 0.742199 -0.002362 -0.009717
0.479623 0.732482 -0.002362 -0.009717
0.477261 0.722765 -0.002362 -0.009717
0.474899 0.713048 -0.002362 -0.009717
0.472537 0.703331 -0.002362 -0.009717
0.470176 0.693614 -0.002362 -0.009717
0.467814 0.683896 -0.002362 -0.009717
0.465452 0.674179 -0.002362 -0.009717
0.463090 0.664462 -0.002362 -0.009717
0.460728 0.654745 -0.002362 -0.009717
0.458366 0.645028 -0.002362 -0.009717
0.456004 0.635311 -0.002362 -0.009717
0.453642 0.625594 -0.002362 -0.009717
0.451281 0.615877 -0.002362 -0.009717
0.448919 0.606160 -0.002362 -0.009717
0.446557 0.596443 -0.002362 -0.009717
0.444195 0.586726 -0.002362 -0.009717
0.441833 0.577009 -0.002362 -0.009717
0.439471 0.567292 -0.002362 -0.009717
0.437109 0.557575 -0.002362 -0.009717
0.434747 0.547857 -0.002362 -0.009717
0.432385 0.538140 -0.002362 -0.009717
0.430024 0.528423 -0.002362 -0.009717
0.427662 0.518706 -0.002362 -0.009717
0.425300 0.508989 -0.002362 -0.009717
0.422938 0.499272 -0.002362 -0.009717
0.420576 0.489555 -0.002362 -0.009717
0.418214 0.479838 -0.002362 -0.009717
0.415852 0.470121 -0.002362 -0.009717
0.413490 0.460404 -0.002362 -0.009717
0.411129 0.450687 -0.002362 -0.009717
0.408767 0.440970 -0.002362 -0.009717
0.406405 0.431253 -0.002362 -0.009717
0.404043 0.421535 -0.002362 -0.009717
0.401681 0.411818 -0.002362 -0.009717
0.399319 0.402101 -0.002362 -0.009717
0.396957 0.392384 -0.002362 -0.009717
0.394595 0.382667 -0.002362 -0.009717
0.392234 0.372950 -0.002362 -0.009717
0.389872 0.363233 -0.002362 -0.009717
0.387510 0.353516 -0.002362 -0.009717
0.385148 0.343799 -0.002362 -0.009717
0.382786 0.334082 -0.002362 -0.009717
0.380424 0.324365 -0.002362 -0.009717
0.378062 0.314648 -0.002362 -0.009717
0.375700 0.304931 -0.002362 -0.009717
0.373339 0.295214 -0.002362 -0.009717
0.361573 0.288309 -0.016650 -0.005443
0.344924 0.282866 -0.016650 -0.005443
0.328274 0.277423 -0.016650 -0.005443
0.311624 0.271980 -0.016650 -0.005443
0.294974 0.266537 -0.016650 -0.005443
0.278324 0.261093 -0.016650 -0.005443
0.261674 0.255650 -0.016650 -0.005443
0.245024 0.250207 -0.016650 -0.005443
0.228374 0.244764 -0.016650 -0.005443
0.211724 0.239321 -0.016650 -0.005443
0.195074 0.233878 -0.016650 -0.005443
0.178424 0.228434 -0.016650 -0.005443
0.161775 0.222991 -0.016650 -0.005443
0.145125 0.217548 -0.016650 -0.005443
0.128475 0.212105 -0.016650 -0.005443
0.111825 0.206662 -0.016650 -0.005443
0.111671 0.220727 -0.000076 0.014158
0.111594 0.234885 -0.000076 0.014158
0.111518 0.249043 -0.000076 0.014158
0.111442 0.263200 -0.000076 0.014158
0.111365 0.277358 -0.000076 0.014158
0.111289 0.291515 -0.000076 0.014158
0.111213 0.305673 -0.000076 0.014158
0.111137 0.319831 -0.000076 0.014158
0.111060 0.333988 -0.000076 0.014158
0.110984 0.348146 -0.000076 0.014158
0.110908 0.362304 -0.000076 0.014158
0.110831 0.376461 -0.000076 0.014158
0.110755 0.390619 -0.000076 0.014158
0.110679 0.404777 -0.000076 0.014158
0.110603 0.418934 -0.000076 0.014158
0.110526 0.433092 -0.000076 0.014158
0.110450 0.447249 -0.000076 0.014158
0.110374 0.461407 -0.000076 0.014158
0.110297 0.475565 -0.000076 0.014158
0.110221 0.489722 -0.000076 0.014158
0.110145 0.503880 -0.000076 0.014158
0.110069 0.518038 -0.000076 0.014158
0.109992 0.532195 -0.000076 0.014158
0.109916 0.546353 -0.000076 0.014158
0.109840 0.560511 -0.000076 0.014158
0.109763 0.574668 -0.000076 0.014158
0.109687 0.588826 -0.000076 0.014158
0.109611 0.602983 -0.000076 0.014158
0.109535 0.617141 -0.000076 0.014158
0.109458 0.631299 -0.000076 0.014158
0.109382 0.645456 -0.000076 0.014158
0.109306 0.659614 -0.000076 0.014158
0.109229 0.673772 -0.000076 0.014158
0.109153 0.687929 -0.000076 0.014158
0.109077 0.702087 -0.000076 0.014158
0.109001 0.716245 -0.000076 0.014158
0.108924 0.730402 -0.000076 0.014158
0.108848 0.744560 -0.000076 0.014158
0.108772 0.758718 -0.000076 0.014158
0.108695 0.772875 -0.000076 0.014158
0.108619 0.787033 -0.000076 0.014158
0.108543 0.801190 -0.000076 0.014158
0.108467 0.815348 -0.000076 0.014158
0.108390 0.829506 -0.000076 0.014158
0.108314 0.843663 -0.000076 0.014158
0.108238 0.857821 -0.000076 0.014158
0.108161 0.871979 -0.000076 0.014158
0.108085 0.886136 -0.000076 0.014158
0.108009 0.900294 -0.000076 0.014158
0.107933 0.914452 -0.000076 0.014158
0.107856 0.928609 -0.000076 0.014158
0.107780 0.942767 -0.000076 0.014158
0.107704 0.956924 -0.000076 0.014158
0.107627 0.971082 -0.000076 0.014158
0.107551 0.974760 -0.000076 -0.014158
0.107475 0.960603 -0.000076 -0.014158
0.107399 0.946445 -0.000076 -0.014158
0.107322 0.932287 -0.000076 -0.014158
0.107246 0.918130 -0.000076 -0.014158
0.107170 0.903972 -0.000076 -0.014158
0.107093 0.889814 -0.000076 -0.014158
0.107017 0.875657 -0.000076 -0.014158
0.106941 0.861499 -0.000076 -0.014158
0.106865 0.847341 -0.000076 -0.014158
0.106788 0.833184 -0.000076 -0.014158
0.106712 0.819026 -0.000076 -0.014158
0.106636 0.804869 -0.000076 -0.014158
